hey how is it going,banter
I am here,banter
happening,banter
hi,banter
hello,banter
who are you,banter
y'all,banter
are you human,banter
howdy,banter
haps,banter
hey  ,banter
How are you?,banter
I am good,banter
thanks  ,banter
thanks you,banter
I am fine thank you,banter
yo,banter
you the man,banter
I need help,help
I am lonely,help
very lonely,help
help me,help
I am dying,help
need to call a pastor,help
how do I get in touch with a pastor,help
anyone care,help
need elder,help
need pastor,help
I am in trouble,help
anyone here,help
can anyone help,help
is there anyone there,help
I have a problem,help
need help fast,help
song,music2
new song,music2
music,music2
worship,music2
praise,music2
free music,music2
free song,music2
download music,music2
music please,music2
when the king left his throne,music2
when the king,music2
king,music2
he is alive,music2
hes alive,music2
easter song,music2
easter,music2
mercy worship music,music2
support,support
how do I text,support
instructions,support
how do I make this work,support
download does not work,support
text does not work,support
how does this work,support
how does this messaging platform work,support
sermon,message
last sermon,message
last message,message
spence podcast,message
last Sunday message,message
message,message
gospel,message
I want to listen to sermon,message
would like to listen to sermon,message
would like to hear sermon,message
would like to hear spence,message
preaching,message
want to hear message,message
prayer alert,prayer
can you pray for me,prayer
will you pray for me,prayer
pray   ,prayer
need prayer,prayer
pray for me,prayer
service times,times
times for church,times
times for events,times
times,times
events,events
special events,events
conference events,events
missions trip,events
womens event,events
Sunday school,events
bible study,events
bible studies,events
community groups,cg
where are community groups,cg
are there community groups near me,cg
does mercy have community groups,cg
need info on community groups,cg
weather,weather
weather delays,weather
ice,weather
will services be delayed due to weather,weather
icy road conditions delay service,weather
location,location
how do I get to mercy,location
where is mercy,location
how do I find mercy,location
what is the mission of Mercy,mission
Do you believe in Salvation by Faith,beliefs
who is jesus,beliefs
salvation,beliefs
how can I be saved,beliefs
what does Mercy believe,beliefs
Is Jesus your Lord and Savior,beliefs
who do you believe in,beliefs
denomination,beliefs
what is your denomination,beliefs
theology,beliefs
what do you believe,beliefs
missions trip,mission
go to all the world,mission
go,mission
missions,mission
serve overseas,mission
overseas,mission
trips,mission
short term trips,mission
mission  ,mission 
serve the nations,mission
beliefs,beliefs
I would like to go on a missions trip,mission
what about childrens ministry,children
what is there for children,children
what do you have for highschoolers,students
I have school age children,students
is there a student ministry,students
students,students
college,college
college students,college
what about college ministry,college
yo - what do college kids do here,college
how do I give at mercy,giving
give my tithe,giving
tithe,giving
give  ,giving
membership,membership
serve local,serveweek
serve,serveweek
local ministry,serveweek
serve week,serveweek
where can I serve,serveweek
serve charlotte,serveweek
how do I serve,serveweek
how do I get involved,membership
join,membership
greeter,membership
become part of the band,membership
join the worship team,membership
faithful,music
"""faithful""",music
I want faithful,music
faithful please,music
faithful now,music
send faithful,music
text faithful,music
faith,music
mercy playlist,worship
what songs did we sing this morning,worship
what sings did we sing at church,worship
I would like a list of mercy worship music,worship
playlist for mercy,worship
I really liked the worship this morning,worship
what did the worship team sing this morning,worship
start point,registerstartingpoint
starting point,registerstartingpoint
I would like to attend starting point,registerstartingpoint
how do I register,registerstartingpoint
starting point weekend,registerstartingpoint
get started,registerstartingpoint
start,registerstartingpoint
what is starting point,whatisstartingpoint
whats starting point,whatisstartingpoint
why starting point,whatisstartingpoint
what times are starting point,whenisstartingpoint
time for starting point,whenisstartingpoint
start time start point,whenisstartingpoint
how do I get to starting point,whereisstartingpoint
directions to startig point,whereisstartingpoint
directions,whereisstartingpoint
need directions,whereisstartingpoint
starting point directions,whereisstartingpoint
is there child care,childcarestartingpoint
baby sitting,childcarestartingpoint
kids,childcarestartingpoint
what about children ,childcarestartingpoint
how about my children,childcarestartingpoint
google map,whereisstartingpoint
member night,member 
member,member
I'll be there,member
I am down for member night,member
see you at member night,member
looking forward to member night,member
I cannot make member night,decline
wish I could be there,decline
sorry - can't make it,decline
will be there,member
yes,memberchild
I do,memberchild
ya,memberchild
yes I do,memberchild
yep,memberchild
sure do,memberchild
jan 26 child care,childcarestartingpoint
no,close
nope,close
nah,close
bye,close
